genspcode,gencode,spcode,lsspnum,genus,species,author,family,Synonymy_and_name_history,nativeexotic,forma,wooddens,wooddenstaxlevel,wooddenssource,,,,
HEDYSCAB,HEDY,SCAB,LS000909,Hedyosmum,scaberrimum,Standl.,Chloranthaceae,Hist. Tax. H. callososerratum,Nativa,A,0.45,Genus,South America (tropical),Hammel 8181,,,
HEISCONC,HEIS,CONC,LS001484,Heisteria,concinna,Standl.,Erythropalaceae,,Nativa,A,0.64,Species,LaSelva-WiemWilli,Aguilar 8336,,,
HENRTUBE,HENR,TUBE,LS001337,Henriettella,tuberculosa,(Donn. Sm.) L. O. Williams,Melastomataceae,Sin. Henriettea tuberculosa (Donn. Sm.) L.O. Williams,Nativa,A,0.47,Species,SAmerTrop,Aguilar 7709,,,
HERNDIDY,HERN,DIDY,LS001201,Hernandia,didymantha,Donn. Sm.,Hernandiaceae,,Nativa,A,0.309,Species,LaSelva-MullerLand,Aguilar 7656,,,
HERRPURP,HERR,PURP,LS001793,Herrania,purpurea,(Pittier) R. E. Schult.,Malvaceae,,Nativa,A,,,,Aguilar 8248,,,no density for genus in Chave
HIERALCH,HIER,ALCH,LS001030,Hieronyma,alchorneoides,Allemão,Phyllanthaceae,Sin. Hieronyma laxiflora (Tul.) Müll. Arg. ???,Nativa,A,0.557,Species,LaSelva-MullerLandau & CostaRica-Malavass,Aguilar 8166,Allemão T. Chacón 751; Herb. Nac. CR,7,
HIEROBLO,HIER,OBLO,LS001031,Hieronyma,oblonga,(Tul.) Müll. Arg.,Phyllanthaceae,,Nativa,A,0.603,Species,SAmerTrop,Aguilar 8197,,,
HIRTLEMS,HIRT,LEMS,LS000911,Hirtella,lemsii,L. 0. Williams & Prance,Chrysobalanaceae,,Nativa,A,0.767,Genus,C&SAmerTrop,Aguilar 8104,I.A.Chacon G. 747; Herb. Nac. CR,,"twig very pubescent, lvs pointy, acuminate,pubescent,sessile"
HYMEMESO,HYME,MESO,LS001128,Hymenolobium,mesoamericanum,H. C. Lima,Fabaceae,Hist. Tax. Hymenolobium pulcherrimum,Nativa,A,0.668,Genus,SAmerTrop,O. Vargas  572,R. Aguilar 19; Herb. Nac. CR,8,
ILEXSKUT,ILEX,SKUT,LS000759,Ilex,skutchii,Edwin ex T. R. Dudley & W. J. Hahn,Aquifoliaceae,,Nativa,A,0.569,Genus,C&SAmerTrop,O. Vargas  720,B.Hammel & M. Grayum 14124; Herb. Nac. CR,,
INGA1042,INGA,1042,,Inga,,,Fabaceae,,,A,0.577,Genus,Mex&C&SAmerTrop,,,,1 stem
INGAACUM,INGA,ACUM,LS001070,Inga,acuminata,Benth.,Fabaceae,,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,Hammel 13084,,,
INGAALBA,INGA,ALBA,LS001071,Inga,alba,(Sw.) Willd,Fabaceae,Hist. Tax. Inga longispica,Nativa,A,0.586,Species,SAmerTrop,B.Hammel 9846,,,
INGACOCL,INGA,COCL,LS001073,Inga,cocleensis,Pittier,Fabaceae,,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,B.Hammel & J.Fraser 11096,,,
INGADENS,INGA,DENS,LS001074,Inga,densiflora,Benth.,Fabaceae,,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,Hammel 9847,,,
INGAJINI,INGA,JINI,LS001075,Inga,jinicuil,Schltdl. & Cham ex G. Don,Fabaceae,Sin. Inga paterno Harms,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,B.Hammel 11571,,,
INGALEIO,INGA,LEIO,LS001076,Inga,leiocalycina,Benth.,Fabaceae,Hist. Tax. Inga coruscans,Nativa,A,0.56,Species,SAmerTrop,B.Hammel 12960,,,
INGAMARG,INGA,MARG,LS001085,Inga,marginata,(Vell.) Mart.,Fabaceae,,Nativa,A,0.571,Species,LaSelva-MullerLand,Aguilar 7685,,,
INGAMORT,INGA,MORT,LS001077,Inga,mortoniana,Jorge León,Fabaceae,Hist. Tax. Inga acrocephala,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,Hammel 9694,,,
INGAPAVO,INGA,PAVO,,,,,Fabaceae,**** need to figure out what this is/was; ?es sapindoides? tengo un apunte asi de 2008,,A,0.577,Genus,Mex&C&SAmerTrop,,,,**** need to figure out what this is/was; ?es sapindoides? tengo un apunte asi de 2008
INGAPEZI,INGA,PEZI,LS001081,Inga,pezizifera,Benth.,Fabaceae,Sin. Inga riopalenquensis A. H. Gentry,Nativa,A,0.607,Species,SAmerTrop,Hammel 11033,,,
INGAPUNC,INGA,PUNC,,Inga,punctata,Willd.,Fabaceae,"?? In the 1998 LS flora list - see specimen.  What is this now? (my memory is it was coruscans, leiocalycina)",,A,0.577,Genus,Mex&C&SAmerTrop,BEH 11596,,,1 stem
INGASAPI,INGA,SAPI,LS002048,Inga,sapindoides,Willd.,Fabaceae,,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,Aguilar 8074,,,
INGASERT,INGA,SERT,LS001086,Inga,sertulifera,DC.,Fabaceae,Hist. Tax. Inga heterophylla,Nativa,A,0.65,Species,SAmerTrop,Hammel 10652,,,
INGASP,INGA,SP,,Inga,,,Fabaceae,,,A,0.577,Genus,Mex&C&SAmerTrop,,,,
INGATHIB,INGA,THIB,LS001088,Inga,thibaudiana,DC.,Fabaceae,,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,Hammel 9711,,,
INGAUMBE,INGA,UMBE,LS001090,Inga,umbellifera,(Vahl) Steud.,Fabaceae,,Nativa,A,0.724,Species,SAmerTrop,B.Hammel 10711,,,
IRIADELT,IRIA,DELT,LS000316,Iriartea,deltoidea,Ruiz & Pav.,Arecaceae,Sin. Iriartea gigantea H. Wendl. Ex Burret,Nativa,P,0.25,Species,LaSelva-Rich,Aguilar 7697,,,
JACACOPA,JACA,COPA,LS000845,Jacaranda,copaia,(Aubl.) D. Don,Bignoniaceae,,Nativa,A,0.38,Species,CostaRica-Malavass,B.Hammel 11447,"Elbert J. Little, Jr. and Gerardo Budowski 20245; Herb. Nac. CR",,
JACADOLI,JACA,DOLI,LS000899,Jacaratia,dolichaula,(Donn. Sm.) Woodson,Caricaceae,,Nativa,A,0.265,Genus,SAmerTrop,Aguilar 7646,,,
LACIAGGR,LACI,AGGR,LS001160,Lacistema,aggregatum,(Bergius) Rusby,Lacistemataceae,,Nativa,A,0.501,Species,LaSelva-MullerLand,Hammel 8012,G.S.Hartshorn 1402; Herb. Nac. CR,,"secundarios barely visible; strongly acum. tip; margin sharp teeth, only in the far 1/2."
LACMPANA,LACM,PANA,LS000741,Lacmellea,panamensis,(Woodson) Markgr.,Apocynaceae,,Nativa,A,0.446,Species,LaSelva-MullerLand,O. Vargas  1327,B.Hammel & R.Robles 16717; Herb. Nac. CR,,
LACUPANA,LACU,PANA,LS001591,Lacunaria,panamensis,(Standl.) Standl.,Ochnaceae,,Nativa,A,0.804,Genus,SAmerTrop,Hammel 8104,,,
LADEHETE,LADE,HETE,LS001631,Ladenbergia,heterophylla,(Wedd.) Standl.,Rubiaceae,Sin. Ladenbergia sericophylla Standl.?,Nativa,A,0.49,Genus,SAmerTrop,Hammel 10970,,,
LAETPROC,LAET,PROC,LS001161,Laetia,procera,(Poepp.) Eichler,Salicaceae,,Nativa,A,0.67,Species,LaSelva-King,G. Hartshorn 1049,B.Hammel&J.Trainer 12854; Herb. Nac. CR,,"leaf margin crenate (sm. rounded ""teeth"")"
LECYAMPL,LECY,AMPL,LS001254,Lecythis,ampla,Miers,Lecythidaceae,,Nativa,A,0.68,Species,LaSelva-King,B. Hammel 12077,R. Robles 2208; Herb. Nac. CR,6,
LIANSP,LIAN,SP,,,,,,,,L,,,,,,,
LICA1029,LICA,1029,,Licaria,,,Lauraceae,,,A,0.805,Genus,Mex&SAmerTrop,,,,1 stem
LICAARAC,LICA,ARAC,,Licania,arachicarpa,N. Zamora,Chrysobalanaceae,,Nativa,A,0.816,Genus,C&SAmerTrop,,,,"Clark1020 & Clark1024; id'd by JG/OV June13; NOTE - no LS number or voucher yet, not yet in a LS list"
LICAMISA,LICA,MISA,LS002338,Licaria,misantlae,(Brandegee) Kosterm.,Lauraceae,"Hist. Tax. Licaria triandra, Licaria  sp. A de Flora Costarricensis y sp. nov. de listas anteriores",Nativa,A,0.805,Genus,Mex&SAmerTrop,B. Hammel 10670,J.F.Morales 1626-INBIO,,"Clark1037, id'd by JG/OV June13"
LICASARA,LICA,SARA,LS001221,Licaria,sarapiquensis,Hammel,Lauraceae,"Sin. Licaria debilis Hammel, Hist. Tax. Licaria guatemalensis",Nativa,A,0.805,Genus,Mex&SAmerTrop,G. Hartshorn 1588,N.Zamora 2092-INBIO,,
LICASP,LICA,SP,,Licaria,,,Lauraceae,MV#474; TO RECOLLECT (PER NZ),,A,0.805,Genus,Mex&SAmerTrop,,,,"MV: (NZ & BEH) either L. triandra, or a 3rd sp.;big lvs, undulate margins, dry spec. odorless"
LICASP.A,LICA,SP.A,LS000913,Licania,sp. A,?,Chrysobalanaceae,Hist. Tax. Licania glabriflora,Nativa,A,0.816,Genus,C&SAmerTrop,Aguilar 7603,B. Hammel 11149; Herb. Nac. CR,,"very acute leaf base, acum. tip, petioles <1cm,6-8 pr sharply ascending secondaries"
LONCHEPT,LONC,HEPT,LS001132,Lonchocarpus,heptaphyllus,(Poir.) DC.,Fabaceae,Sin. L. pentaphyllus (Poir.) Kunth ex DC.; L. latisiliquus M. Sousa,Nativa,A,0.716,Species,C&SAmerTrop,Hammel 10934,,,
LONCOLIG,LONC,OLIG,LS001131,Lonchocarpus,oliganthus,F. J. Herm.,Fabaceae,,Nativa,A,0.707,Genus,Central America (tropical),Aguilar 8014,,,
LOZAPITT,LOZA,PITT,LS001162,Lozania,pittieri,(S. F. Blake) L. B. Sm.,Lacistemataceae,Sin. Lozania pedicellata (Standl.) L. B. Sm.,Nativa,A,,,,Hammel 8260,Isidro Chacon 1248; Herb. Nac. CR,,"lf distinct acum. tip; margin completely toothed, teeth two sizes, sawlike; no Chave density"
LUEHSEEM,LUEH,SEEM,LS001805,Luehea,seemannii,Triana & Planch.,Malvaceae,,Nativa,A,0.41664,Species,Central America (tropical),Hammel & Trainer 13016,,,
MABEOCCI,MABE,OCCI,LS001034,Mabea,occidentalis,Bernh.,Euphorbiaceae,,Nativa,A,0.616,Genus,SAmerTrop,Hammel 8298,,,
MACRCOST,MACR,COST,LS001053,Macrolobium,costaricense,W.C. Burger,Fabaceae,Hist. Tax. M. taylorii,Nativa,A,0.593,Genus,SAmerTrop,B.Hammel 9728,Orlando Vargas 327; Herb. Nac. CR,,checked: can have 2->5 prs. of lflets
MAQUGUIA,MAQU,GUIA,LS001431,Maquira,guianensis,Aubl.,Moraceae,"Sin. Maquira costaricana (Standl.) C. C. Berg, Sin. Perebea costaricana Standl.",Nativa,A,0.766,Species,SAmerTrop,Hammel 11587,,,
MARAPANA,MARA,PANA,LS000916,Maranthes,panamensis,(Standl.) Prance & F. White,Chrysobalanaceae,Sin. Couepia panamensis Satndl.,Nativa,A,0.817,Genus,AfrAustPNGSEAsiaTrop,Aguilar 8169,Barry Hammel 11260; Herb. Nac. CR; LS specimen,,"lvs very shiny below, sec.s highly contrasting, reddish; 2 sm round glands at leaf base on top."
MARILAXI,MARI,LAXI,LS000936,Marila,laxiflora,Rusby,Calophyllaceae,Sin. Marila verapazensis Donn. Sm.,Nativa,A,,,,Hammel 11520,,,no wood density for genus in Chave compilation
MARIPLUR,MARI,PLUR,LS000937,Marila,pluricostata,Standl. & L. O. Williams,Calophyllaceae,,Nativa,A,,,,Hammel & Trainer 10798,,,no wood density for genus in Chave compilation
MELIDONN,MELI,DONN,LS001708,Meliosma,donnellsmithii,Urb.,Sabiaceae,,Nativa,A,0.41,Genus,SAmerTrop,Hammel 9108,,,
MELIOCCI,MELI,OCCI,LS001709,Meliosma,occidentalis,Cuatr.,Sabiaceae,Hist. Tax. Meliosma vernicosa (Liebm.) Griseb.,Nativa,A,0.41,Genus,SAmerTrop,Hammel 9724,,,
MICO623,MICO,623,,Miconia,,,Melastomataceae,???Miconia sp. - queda por determinar?; hojas verdes,,A,0.611,Genus,C&SAmerTrop,,,,MV
MICOAFFI,MICO,AFFI,LS001343,Miconia,affinis,DC.,Melastomataceae,Sin. Miconia microcarpa DC.,Nativa,A,0.611,Genus,C&SAmerTrop,Aguilar 7768,,,
MICOAPPE,MICO,APPE,LS001345,Miconia,appendiculata,Triana,Melastomataceae,,Nativa,A,0.611,Genus,C&SAmerTrop,Aguilar 7728,,,
MICOCENT,MICO,CENT,LS001348,Miconia,centrodesma,Naudin,Melastomataceae,,Nativa,A,0.611,Genus,C&SAmerTrop,Aguilar 8106,,,
MICOCOMM,MICO,COMM,LS001365,Miconia,commutata,Almeda,Melastomataceae,Hist. Tax. Miconia smaragdina,Nativa,A,0.611,Genus,C&SAmerTrop,Hammel 7940,,,
MICODORS,MICO,DORS,LS001350,Miconia,dorsiloba,Gleason,Melastomataceae,,Nativa,A,0.611,Genus,C&SAmerTrop,B.Hammel 8077,,,
MICOELAT,MICO,ELAT,LS001351,Miconia,elata,(Sw.) DC.,Melastomataceae,,Nativa,A,0.611,Genus,C&SAmerTrop,Aguilar 7717,,,
MICOLIGU,MICO,LIGU,LS001357,Miconia,ligulata,Almeda,Melastomataceae,Sin. Leandra consimilis Gleason,Nativa,A,0.611,Genus,C&SAmerTrop,Aguilar 7730,,,
MICOMULT,MICO,MULT,LS001359,Miconia,multispicata,Naudin,Melastomataceae,,Nativa,A,0.611,Genus,C&SAmerTrop,Aguilar 7710,,,
MICONERV,MICO,NERV,LS001360,Miconia,nervosa,(Sm.) Triana,Melastomataceae,,Nativa,A,0.611,Genus,C&SAmerTrop,Aguilar 7574,,,
MICOPUNC,MICO,PUNC,LS001362,Miconia,punctata,(Desr.) D. Don ex DC.,Melastomataceae,,Nativa,A,0.611,Genus,C&SAmerTrop,Aguilar 7706,,,
MICOSIMP,MICO,SIMP,LS001364,Miconia,simplex,Triana,Melastomataceae,,Nativa,A,0.611,Genus,C&SAmerTrop,Aguilar 7605,,,Clark1137 id'd by JG/OV June13; 4 stems
MICOSTEV,MICO,STEV,LS001367,Miconia,stevensiana,Almeda,Melastomataceae,,Nativa,A,0.611,Genus,C&SAmerTrop,Hammel 9777,,,
MINQGUIA,MINQ,GUIA,LS001487,Minquartia,guianensis,Aubl.,Coulaceae,,Nativa,A,0.61,Species,CostaRica-Malavass,B.Hammel 10642,G. Herrera 2250; Herb. Nac. CR,5,
MOURGLEA,MOUR,GLEA,LS001369,Mouriri,gleasoniana,Standl. ex Standl. & Steyerm.,Melastomataceae,,Nativa,A,0.836,Genus,South America (tropical),B.Hammel 9317,,,no wood density for genus in Chave compilation
MUSSHYAC,MUSS,HYAC,LS000849,Mussatia,hyacinthina,(Standl.) Sandw.,Bignoniaceae,,Nativa,L,,,,,,,
MYRCALIE,MYRC,ALIE,LS002427,Myrcia,aliena,McVaugh,Myrtaceae,,Nativa,A,0.801,Genus,SAmerTrop,Gentry 78581,,,"JG/OV say this is very interesting and want our specimen(s) for the herbarium; Clark1025,1048, and 1196 id'd by JG/OV June13"
MYRCSPLE,MYRC,SPLE,LS001465,Myrcia,splendens,(Sw.) DC.,Myrtaceae,Sin. Myrcia costaricensis O. Berg,Nativa,A,0.8,Species,SAmerTrop,M.Grayum 2954,,,
NAUCNAGA,NAUC,NAGA,LS001433,Naucleopsis,naga,Pittier,Moraceae,Sin. Ogcodeia naga (Pittier) Mildbr.,Nativa,A,0.651,Genus,SAmerTrop,Aguilar 7616,,,
NECTCISS,NECT,CISS,LS001226,Nectandra,cissiflora,Nees,Lauraceae,Sin. Nectandra paulii C. K. Allen,Nativa,A,0.59,Species,SAmerExtratrop,Hammel 11168,,,
NECTHYPO,NECT,HYPO,LS001227,Nectandra,hypoleuca,Hammel,Lauraceae,,Nativa,A,0.525,Genus,Mex&C&SAmerTrop,Hammel 9111,,,
NECTPURP,NECT,PURP,LS002409,Nectandra,purpurea,(Ruiz & Pav. ) Mez,Lauraceae,Sin. Nectandra latifolia (Kunth) Mez,Nativa,A,0.4306768,Species,BCI-MullerLand,Jacobs  2540,,,MV#158; BEH id'd
NECTSALI,NECT,SALI,,Nectandra,salicina,C. K. Allen,Lauraceae,"[INB, recolectada por los Clark]; MV#261&831; ID'D by NZ; Not on the LS list!!!!!",,A,0.525,Genus,Mex&C&SAmerTrop,,,,
NEEAAMPL,NEEA,AMPL,LS001471,Neea,amplifolia,Donn. Sm.,Nyctaginaceae,,Nativa,A,0.63,Genus,Mex&SAmerTrop,Aguilar 7782,,,
NEEAELEG,NEEA,ELEG,LS001473,Neea,elegans,P. H. Allen -vel aff.,Nyctaginaceae,,Nativa,A,0.63,Genus,Mex&SAmerTrop,Jacobs  2518,,,Clark943 id'd by JG/OV June13
OCHRPYRA,OCHR,PYRA,LS000857,Ochroma,pyramidale,(Cav. ex Lam.) Urb.,Malvaceae,Sin. Ochroma lagopus (Cav. ex Lam.) Urb.,Nativa,A,0.19,Species,LaSelva-WiemWilli,Hammel 10669,,,
OCOT965,OCOT,965,,Ocotea,,,Lauraceae,,,A,0.501,Genus,Mex&C&SAmerTrop,,,,1 stem
OCOTATIR,OCOT,ATIR,LS001232,Ocotea,atirrensis,Mez & Donn. Sm. ex Mez,Lauraceae,,Nativa,A,0.48,Species,Central America (tropical),Hammel 8131,,,
OCOTCERN,OCOT,CERN,LS001235,Ocotea,cernua,(Nees) Mez,Lauraceae,"Sin. Nectandra caudata (Nees) Mez, Sin. Nectandra killipii A.C.Sm.",Nativa,A,0.587,Species,LaSelva-MullerLandau,Aguilar 7667,,,
OCOTDEND,OCOT,DEND,LS001236,Ocotea,dendrodaphne,Mez,Lauraceae,,Nativa,A,0.49,Species,La Selva (King),Aguilar 7936,,,Clark1147(small); id'd by JG/OV June13
OCOTFLOR,OCOT,FLOR,LS001238,Ocotea,floribunda,(Sw.) Mez,Lauraceae,Sin. Ocotea wachenheimii Benoist,Nativa,A,0.395,Species,SAmerTrop,Hammel 9705,,,
OCOTHART,OCOT,HART,LS001239,Ocotea,hartshorniana,Hammel,Lauraceae,,Nativa,A,0.38,Species,LaSelva-King,Aguilar 7661,,,"MV's 60,68; id'd by BEH"
OCOTINSU,OCOT,INSU,LS001240,Ocotea,insularis,(Meisn.) Mez,Lauraceae,Sin. Ocotea ira Mez & Pittier ex Mez,Nativa,A,0.501,Genus,Mex&C&SAmerTrop,B. Hammel 10538,,,
OCOTLAET,OCOT,LAET,LS001242,Ocotea,laetevirens,Standl.& Steyerm.,Lauraceae,Hist. Tax. Ocotea meziana C. K. Allen,Nativa,A,0.39,Species,LaSelva-King,J. González 7768,,,
OCOTLEUC,OCOT,LEUC,LS001241,Ocotea,leucoxylon,(Sw.) Laness.,Lauraceae,Sin. Ocotea lenticellata Lundell,Nativa,A,0.462,Species,SAmerTrop,M. Grayum 2388,O. Vargas 241 - INBIO,,
OCOTMACR,OCOT,MACR,LS001244,Ocotea,macropoda,(Kunth) Mez,Lauraceae,Sin. Ocotea babosa C. K. Allen,Nativa,A,0.501,Genus,Mex&C&SAmerTrop,Hammel & Trainer 10871,,,MV#302; NZ says to get this fertile (he called it babosa in 2003)
OCOTMOLL,OCOT,MOLL,LS001243,Ocotea,mollifolia,Mez & Pittier ex Mez,Lauraceae,,Nativa,A,0.501,Genus,Mex&C&SAmerTrop,Hammel 10684,,,
OCOTPENT,OCOT,PENT,LS001245,Ocotea,pentagona,Mez,Lauraceae,Hist. Tax. Ocotea nicaraguensis,Nativa,A,0.501,Genus,Mex&C&SAmerTrop,J. González 7548,,,MV#705; id'd by BEH (as nicaraguensis)
OCOTSP,OCOT,SP,,Ocotea,,,Lauraceae,"MV#'s:760,763,258; NZ called it O. babosa??, and said to get, hopefully fertile",,A,0.501,Genus,Mex&C&SAmerTrop,,,,"MV#'s:760,763,258; NZ called it O. babosa??, and said to get, hopefully fertile"
OCOTSP.1,OCOT,SP.1,LS001233,Ocotea,sp. 1,?,Lauraceae,"Hist. Tax. O. bijuga -vel sp. aff., Hist. Tax. Ocotea sp. A",Nativa,A,0.501,Genus,Mex&C&SAmerTrop,Hammel 10229,,,"Clark1005 and others id'd by JG/OV June13; JG said the Manual of CR has this species as ""sp.1"""
ORMOINTE,ORMO,INTE,LS001137,Ormosia,intermedia,N.Zamora,Fabaceae,,Nativa,A,0.621,Genus,SAmerTrop,O. Vargas  576,,,
ORMOOCHR,ORMO,OCHR,,Ormosia,,,Fabaceae,? Intermedia? Velutina?,,A,0.621,Genus,SAmerTrop,,,,7 stems
ORMOVELU,ORMO,VELU,LS001139,Ormosia,velutina,Rudd,Fabaceae,,Nativa,A,0.621,Genus,SAmerTrop,Aguilar 7930,,,
OSSAMACR,OSSA,MACR,LS001373,Ossaea,macrophylla,(Benth.) Cogn.,Melastomataceae,,Nativa,A,,,,Hammel 8619,,,
OTOBNOVO,OTOB,NOVO,LS001442,Otoba,novogranatensis,Moldenke,Myristicaceae,Sin. Dialyanthera otoba (Humb. & Bonpl.) Warb.,Nativa,A,0.35,Species,SAmerTrop,Hammel 13170,,,
PACHAQUA,PACH,AQUA,LS000858,Pachira,aquatica,Aubl.,Malvaceae,,Nativa,A,0.377,Species,SAmerTrop,Folsom 9479,Miguel Ballestero 2; Herb. Nac. CR (La Virgen),,
PALIBEAC,PALI,BEAC,,Palicourea,beachiana,C.M. Taylor,Rubiaceae,,Nativa,A,0.547,Genus,SAmerTrop,,,,"Clark1140, id'd by JG/OV June13 (not yet in LS list)"
PALICALI,PALI,CALI,,Palicourea,calidicola,(C.M. Taylor) C.M. Taylor,Rubiaceae,,Nativa,A,0.547,Genus,SAmerTrop,,,,"Clark1225, id'd by JG/OV June13 (not yet in LS list)"
PARAANTI,PARA,ANTI,,,,,,??? Genero?,,A,,,,,,,??? Can't match with any prior list - need to find out what this is/was
PARATRIC,PARA,TRIC,LS001460,Parathesis,trichogyne,Hemsl.,Primulaceae,"Sin. Parathesis chrysophylla Lundell, Sin. Parathesis longipetiolata Lundell, Sin. Parathesis pallida Lundell",Nativa,A,0.62,Genus,SAmerTrop,Hammel 10939,,,
PAULFIBR,PAUL,FIBR,LS001719,Paullinia,fibrigera,Radlk.,Sapindaceae,,Nativa,L,,,,Hammel & Trainer 13252,,,no wood density for genus in Chave compilation
PAULGRAN,PAUL,GRAN,LS001721,Paullinia,granatensis,(Planch. & Linden) Radlk,Sapindaceae,Sin. Paullinia paullinioides Radlk.,Nativa,L,,,,Aguilar 7908,,,no wood density for genus in Chave compilation
PAULINGI,PAUL,INGI,LS001722,Paullinia,ingifolia,Rich. ex Juss,Sapindaceae,"Sin. Paullinia grandifolia, Hist.Tax. P. pseudostipitata",Nativa,L,,,,Hammel 10676,,,no wood density for genus in Chave compilation
PENTMACR,PENT,MACR,LS001097,Pentaclethra,macroloba,(Willd.) Kuntze,Fabaceae,,Nativa,A,0.49,Species,LaSelva-KingMullerLandauWiemWilli,Aguilar 7850,,10,
PENTMONO,PENT,MONO,LS001640,Pentagonia,monocaulis,C. M. Taylor,Rubiaceae,Hist. Tax. Pentagonia donnell-smithii,Nativa,A,,,,Aguilar 7755,,,no wood density for genus in Chave compilation
PEREHISP,PERE,HISP,LS001434,Perebea,hispidula,Standl.,Moraceae,Hist. Tax. Perebea angustifolia,Nativa,A,0.488,Genus,SAmerTrop,Aguilar 7648,,,
PEREMEXI,PERE,MEXI,,,,,,1 stem; ??? Can't match with any prior list - need to find out what this is/was,,A,,,,,,,1 stem; ??? Can't match with any prior list - need to find out what this is/was
PERSAMER,PERS,AMER,LS001248,Persea,americana,Mill,Lauraceae,MV#310: from the beg of CC!; id'd by NZ; also L6121 numcol 992 verified by L/W checking the specimen,Nativa de CR Plantada en LS,A,0.456,Genus,C&SAmerTrop,Solano 1144,,,MV; long petioles (unlike rigens/silvatica)
PERSSILV,PERS,SILV,LS001249,Persea,silvatica,Van der Werff,Lauraceae,Hist. Tax. Persea rigens,Nativa,A,0.456,Genus,C&SAmerTrop,Hammel 9453,J.F.Morales 4323-INBIO,,
PHOLPULC,PHOL,PULC,LS000317,Pholidostachys,pulchra,H. Wendl. ex Hemsl.,Arecaceae,,Nativa,P,,,,O. Vargas  735,,,no wood density for genus in Chave compilation
PINZCORI,PINZ,CORI,LS000987,Pinzona,coriacea,Mart. & Zucc.,Dilleniaceae,Sin. Doliocarpus coriaceus (Mart. & Zucc.) Gilg,Nativa,L,,,,Aguilar 7885,,,no wood density for genus in Chave compilation
PIPEARBO,PIPE,ARBO,LS001540,Piper,arboreum,Aubl.,Piperaceae,,Nativa,A,0.33,Genus,South America (tropical),Grayum 2025,,,
PIPEAURI,PIPE,AURI,LS002431,Piper,auritifolium,Trel.,Piperaceae,Hist. Tax. “Forest biggie”,Nativa,A,0.33,Genus,South America (tropical),Hammel 8183,,,
PIPECENO,PIPE,CENO,LS001545,Piper,cenocladum,C. DC.,Piperaceae,,Nativa,A,0.33,Genus,South America (tropical),Greig 544,,,
PIPECOLO,PIPE,COLO,LS001546,Piper,colonense,C. DC.,Piperaceae,Sin. Piper culebranum C. DC.,Nativa,A,0.33,Genus,South America (tropical),Grayum 2867,,,
PIPEDECU,PIPE,DECU,LS002432,Piper,decurrens,C. DC.,Piperaceae,Sin. Piper tenuimucronatum C. DC.?,Nativa,A,0.33,Genus,South America (tropical),Hammel 8023,,,Clark1182 id'd by JG/OV June13
PIPEMELA,PIPE,MELA,LS001559,Piper,melanocladum,C. DC.,Piperaceae,,Nativa,A,0.33,Genus,South America (tropical),Hammel 8073,,,
PIPESP,PIPE,SP,,Piper,,,Piperaceae,MV 510,,A,0.33,Genus,South America (tropical),,,,MV; 1 stem
PLEULIND,PLEU,LIND,LS001163,Pleuranthodendron,lindenii,(Turcz.) Sleumer,Salicaceae,Sin. Pleuranthodendron mexicana (A. Gray) L. O. Williams,Nativa,A,0.68,Species,Mexico,Aguilar 7617,M.H.Grayum/John Sperry 1866; Herb. Nac. CR; LS spec.,,"long petioles, glands at top of petiole, big teeth; 5 main veins; used to be called Hasseltia in LS"
POSOGRFL,POSO,GRFL,LS001643,Posoqueria,grandiflora,Standl.,Rubiaceae,Hist. Tax. Posoqueria maxima,Nativa,A,0.524,Genus,C&SAmerTrop,O. Vargas 1769,,,
POSOGRFR,POSO,GRFR,,Posoqueria,grandifructa,Hammel & C.M. Taylor,Rubiaceae,,Nativa,A,0.524,Genus,C&SAmerTrop,,,,Clark1134 id'd by JG/OV June13; not yet in LS list; 9 stems
POSOPANA,POSO,PANA,LS001641,Posoqueria,panamensis,(Walp. & Duchass.) Walp.,Rubiaceae,Hist. Tax. Posoqueria coriacea,Nativa,A,0.541,Species,LaSelva-MullerLandau-used old name latifolia,O. Vargas  586,,,
POURBICO,POUR,BICO,LS000906,Pourouma,bicolor,Mart.,Urticaceae,Sin. Pourouma aspera Trécul,Nativa,A,0.329,Species,LaSelva-KingMullerLandau,Aguilar 7839,,,
POURMINO,POUR,MINO,LS000907,Pourouma,minor,Benoist,Urticaceae,Sin. Pourouma umbellifera W. C. Burger,Nativa,A,0.41,Species,CostaRica-Malavass,M. Grayum 2894,,,
POUT1004,POUT,1004,,Pouteria,,,Sapotaceae,,,A,0.783,Genus,Mex&C&SAmerTrop,,,,1 stem
POUT1015,POUT,1015,,Pouteria,,,Sapotaceae,,,A,0.783,Genus,Mex&C&SAmerTrop,,,,2 stems
POUT1019,POUT,1019,,Pouteria,,,Sapotaceae,,,A,0.783,Genus,Mex&C&SAmerTrop,,,,1 stem
POUT1023,POUT,1023,,Pouteria,,,Sapotaceae,,,A,0.783,Genus,Mex&C&SAmerTrop,,,,1 stem
POUT1026,POUT,1026,,Pouteria,,,Sapotaceae,,,A,0.783,Genus,Mex&C&SAmerTrop,,,,2 stems
