genspcode,gencode,spcode,lsspnum,genus,species,author,family,Synonymy_and_name_history,nativeexotic,forma,wooddens,wooddenstaxlevel,wooddenssource,,,,
CASTELAS,CAST,ELAS,LS001410,Castilla,elastica,Sessé,Moraceae,,Nativa,A,0.315,Species,CostaRica-WiemWill,Aguilar 7934,,,
CECRINSI,CECR,INSI,LS000902,Cecropia,insignis,Liebm.,Urticaceae,,Nativa,A,0.309,Species,LaSelva-MullerLand,B. Hammel 11129,,4,
CECROBTU,CECR,OBTU,LS000903,Cecropia,obtusifolia,Bertol.,Urticaceae,,Nativa,A,0.26,Species,CostaRica-WiemWill,O. Vargas  752,,1,
CEDRODOR,CEDR,ODOR,LS001382,Cedrela,odorata,L.,Meliaceae,Sin. Cedrela mexicana Roem.,Nativa,A,0.407,Species,Central America (tropical),B.Hammel & J.Trainer 10818,,,1 stem
CEIBPENT,CEIB,PENT,LS000856,Ceiba,pentandra,(L.) Gaertn.,Malvaceae,,Nativa,A,0.3922271,Species,La Selva- MullerLandau,O. Vargas  557,Karsten Thomsen 1106; Herb. Nac. CR,,"short petiolules, very pointy, slender leaflets; long-acuminate"
CESPSPAT,CESP,SPAT,LS001479,Cespedesia,spathulata,(Ruiz & Pav.) Planch.,Ochnaceae,Sin. Cespedesia macrophylla Seem.,Nativa,A,0.545,Species,LaSelva-WiemWill,Aguilar 8279,,,
CESTMICR,CEST,MICR,LS002367,Cestrum,microcalyx,Francey,Solanaceae,??? Best guessed match; to check in field in 2013,Nativa,A,,,,Aguilar 7676,,,no wood density in Chave compilation
CHAMSP,CHAM,SP,,Chamaedorea,,,Arecaceae,,,P,,,,,,,10 stems
CHIMPARV,CHIM,PARV,LS001600,Chimarrhis,parviflora,Standl.,Rubiaceae,,Nativa,A,0.711,Genus,SAmerTrop,Hammel 9753,,,
CHRYCOLO,CHRY,COLO,LS001736,Chrysophyllum,colombianum,(Aubrév.) T. D. Penn.,Sapotaceae,,Nativa,A,0.774,Genus,C&SAmerTrop,G. Hartshorn 1023,,,
CHRYGLAU,CHRY,GLAU,LS000919,Chrysochlamys,glauca,"(Oerst., Planch. & Triana) Hemsl",Clusiaceae,Sin. Tovomitopsis glauca Oerst.,Nativa,A,,,,Hammel 8771,,,no wood density in Chave compilation
CHRYSILV,CHRY,SILV,LS000921,Chrysochlamys,silvicola,(Hammel) Hammel,Clusiaceae,Sin. Tovomitopsis silvicola Hammel,Nativa,A,0.43,Genus,SAmerTrop,Hammel 10965,,,"1 large stem, id'd by JG/OV June13 from Clark#1141"
CHRYVENE,CHRY,VENE,LS001737,Chrysophyllum,venezuelanense,(Pierre) T. D. Penn.,Sapotaceae,Sin. Pouteria lucentifolia (Standl.) Boehni,Nativa,A,0.774,Genus,C&SAmerTrop,Aguilar 7666,,,
CINNCHAV,CINN,CHAV,LS001220,Cinnamomum,chavarrianum,(Hammel) Kosterm.,Lauraceae,Sin. Phoebe chavarriana  Hammel,Nativa,A,0.47,Genus,SAmerTrop,Aguilar 7987,Alvaro Fernandez 389-INBIO,,"our spec.s checked by NZ,BEH"
CLARMEXI,CLAR,MEXI,LS001411,Clarisia,mexicana,(Liebm.) Lanj.,Moraceae,Hist. Tax. Clarisia biflora,Nativa,A,0.52,Species,Mexico,G. Hartshorn 1477,,,
CLETCOST,CLET,COST,LS000917,Clethra,costaricensis,Britton,Clethraceae,"Hist. Tax. Clethra mexicana A. DC., Hist. Tax. Clethra lanata M. Martens & Galeotti",Nativa,A,0.52,Genus,South America (tropical),Aguilar 8152,,,
CLETHOND,CLET,HOND,LS002539,Clethra,hondurensis,Britton,Clethraceae,,Nativa,A,0.52,Genus,South America (tropical),O. Vargas 1248,,,
CLIDDENS,CLID,DENS,LS001315,Clidemia,densiflora,(Standl.) Gleason,Melastomataceae,,Nativa,A,,,,Hammel 8750,,,no wood density in Chave compilation
CLIDHAMM,CLID,HAMM,LS001319,Clidemia,hammelii,Almeda,Melastomataceae,,Nativa,A,,,,Hammel 9682,,,no wood density; 3 SMALL stems (1 tree) in L2
COJOSP.A,COJO,SP.A,LS001067,Cojoba,sp. A,?,Fabaceae,Hist. Tax.  Cojoba valerioi,Nativa,A,,,,Hammel 8672,,,MV; no wood density for genus in Chave
COLUSPIN,COLU,SPIN,LS001593,Colubrina,spinosa,Donn. Sm.,Rhamnaceae,,Nativa,A,0.495,Species,LaSelva-MullerLand,B.Hammel 10622,,,
COMPMEXI,COMP,MEXI,LS001441,Compsoneura,mexicana,(Hemsl.) Janovec,Myristicaceae,Hist. Tax. Compsoneura sprucei,Nativa,A,,,,Aguilar 7650,,,no wood density in Chave compilation
CONCPLEI,CONC,PLEI,LS001012,Conceveiba,pleiostemona,Donn. Sm.,Euphorbiaceae,Sin. Veconcibea pleiostemona (Donn. Sm.) Pax & K. Hoffm.,Nativa,A,0.266,Species,LaSelva-MullerLand,Aguilar 8211,,,
CONOBRAC,CONO,BRAC,LS001327,Conostegia,bracteata,Triana,Melastomataceae,,Nativa,A,,,,Aguilar 7724,,,no wood density for genus; 2 stems
CONOMICR,CONO,MICR,LS001330,Conostegia,micrantha,Standl.,Melastomataceae,,Nativa,A,,,,Hammel 8227,,,no wood density; 1 stem
CONOMONT,CONO,MONT,LS001331,Conostegia,montana,(Sw.) D. Don,Melastomataceae,,Nativa,A,,,,Aguilar 7575,,,"1 stem; 1 small, id'd by OV/JG"
CORDALLI,CORD,ALLI,LS000865,Cordia,alliodora,(Ruiz & Pav.) Oken,Boraginaceae,,Nativa,A,0.425,Species,Central America (tropical),Hartshorn 1343,,,MV
CORDBICO,CORD,BICO,LS000866,Cordia,bicolor,A. DC.,Boraginaceae,,Nativa,A,0.475,Species,SAmerTrop,G. Hartshorn 1482,G.S. Hartshorn 1482; Herb. Nac. CR,,"distinctly angular bicolored leaf, whitish underneath, asperous"
CORDDWYE,CORD,DWYE,LS000870,Cordia,dwyeri,Nowicke,Boraginaceae,,Nativa,A,0.505,Genus,Mex&C&SAmerTrop,Hammel 11094,Karsten Thomsen 1138; Herb. Nac. CR,,"very big leaf, very furry underneath"
CORDPORC,CORD,PORC,LS000874,Cordia,porcata,Nowicke,Boraginaceae,Hist. Tax. Cordia protracta,Nativa,A,0.505,Genus,Mex&C&SAmerTrop,"Aguilar 7614,  Hammel 8289",,,2 stems in L6; MV (note from 2003: protracta fide B.H.); also noted as riparian
COUEPOLY,COUE,POLY,LS000910,Couepia,polyandra,(Kunth) Rose,Chrysobalanaceae,,Nativa,A,0.74,Species,Mexico,G. Hartshorn 1287,G.S. Hartshorn 1287; Herb. Nac. CR,,"leaf brillante above, whitish below, many parallel sec.s, with some joining irregularly"
COUS1086,COUS,1086,,Coussarea,,,Rubiaceae,,,A,0.61,Genus,SAmerTrop,,,,1 stem
COUS9,COUS,9,,Coussarea,,,Rubiaceae,,,A,0.61,Genus,SAmerTrop,,,,1 stem
COUS983,COUS,983,,Coussarea,,,Rubiaceae,,,A,0.61,Genus,SAmerTrop,,,,1 stem
COUSHOND,COUS,HOND,LS001605,Coussarea,hondensis,(Standl.) C. M. Taylor & W. C. Burger,Rubiaceae,"Sin. Psychotria ostaurea Dwyer & M. V. Hayden, Hist. Tax. C. taurina; Psychotria hondensis?",Nativa,A,0.61,Genus,SAmerTrop,T. McDowell 1001,,,
COUSNIGR,COUS,NIGR,LS001607,Coussarea,nigrescens,C. M. Taylor & Hammel,Rubiaceae,,Nativa,A,0.61,Genus,SAmerTrop,B. Hammel 10383,,,
COUSPSYC,COUS,PSYC,LS001608,Coussarea,psychotrioides,C. M. Taylor & Hammel,Rubiaceae,,Nativa,A,0.61,Genus,SAmerTrop,Aguilar 7937,,,
